aDate;aDateEpochUnix;bTweetText;bTweetTextLang;cFromWhom;cToWhom;dataTweetId;dataPermalinkPath;dataUserId;dataName;dataScreenName;eProfileTweetActionReply;eProfileTweetActionRetweet;eProfileTweetActionFavorite;fSearchedWithThisKeyword
11 Mar 2014;1394582258;@virginieinigriv c'est déjà vachement bien ! Je ne me rappel pas en avoir vu à l'époque (faut dire qu'en terme de pollution lumineuse...);fr;ChrisDi ;@chrisdi;443536255486533632;https://twitter.com/chrisdi/status/443536255486533632;996311;ChrisDi;chrisdi;1;;;pollution OR pollutions
11 Mar 2014;1394582063;Pollution à Paris : la justice saisie pour la première fois http://www.france24.com/fr/20140310-pollution-air-paris-associations-plainte-x-justice-france-particules-fines-ecologie/ … via @FRANCE24;fr;Marwa chargui ;@mriwa_ena;443535439245234177;https://twitter.com/mriwa_ena/status/443535439245234177;251226712;Marwa chargui;mriwa_ena;;;;pollution OR pollutions
11 Mar 2014;1394581898;Noise pollution;fr;IG: @PH_SMUGAL IG: @BrisGangENT ;@SMUGAL1000;443534746342010881;https://twitter.com/SMUGAL1000/status/443534746342010881;258501477;IG: @PH_SMUGAL IG: @BrisGangENT;SMUGAL1000;;;;pollution OR pollutions
11 Mar 2014;1394581538;Plus de taxe santé, plus de pollution, plus de chômage et plus de lock-out. Votons pour ce beau pays que le PQ nous prépare. #qc2014;fr;Renaud St-Pierre ;@RenaudSTP;443533237227646976;https://twitter.com/RenaudSTP/status/443533237227646976;94124518;Renaud St-Pierre;RenaudSTP;1;12;2;pollution OR pollutions
11 Mar 2014;1394580959;Pollution de l’air en Normandie : ça continue ce mercredi http://jlmcreation.fr/Y6ovm ;fr;jlmcreation ;@Infospresses;443530805692747776;https://twitter.com/Infospresses/status/443530805692747776;63721359;jlmcreation;Infospresses;;;;pollution OR pollutions
11 Mar 2014;1394580769;Alerte à la pollution de l’air dans la région : niveau 8 à Angoulême, 7 à Cognac http://jlmcreation.fr/vYfbL ;fr;jlmcreation ;@Infospresses;443530009483833345;https://twitter.com/Infospresses/status/443530009483833345;63721359;jlmcreation;Infospresses;;;;pollution OR pollutions
11 Mar 2014;1394580682;Attention à la pollution aux particules fines ! http://fb.me/2usm1ed9g ;fr;infosreg ;@infosreg;443529646760415232;https://twitter.com/infosreg/status/443529646760415232;1239366186;infosreg;infosreg;;;;pollution OR pollutions
11 Mar 2014;1394580306;“@ReplaceCats: Pollution  https://twitter.com/ReplaceCats/status/436975042358833153/photo/1pic.twitter.com/73ErdtTyjZ ” ahhhh ;fr;Lizz ;@daydream0398;443528068984872960;https://twitter.com/daydream0398/status/443528068984872960;550463344;Lizz;daydream0398;;;;pollution OR pollutions
11 Mar 2014;1394580026;Moi je suis Allergique à la pollution de l'air. Donc autant dire que je peux être malade n'importe quand. Et je le suis actuellement ;fr;𝑀𝑒́𝓉𝒾𝓈 ⭐️ ⭐️𝒞𝒽𝑒𝓋𝑒𝓁𝓊 ;@ItsFluco;443526892587872256;https://twitter.com/ItsFluco/status/443526892587872256;470983200;𝑀𝑒́𝓉𝒾𝓈⭐️⭐️𝒞𝒽𝑒𝓋𝑒𝓁𝓊;ItsFluco;;;;pollution OR pollutions
11 Mar 2014;1394579994;Pas d'entraînement en tout cas j'y vais pas avec cette pollution dangereuse;fr; 🇫🇷CHAMPION DU MONDE  🇫🇷 ;@NicOMhg;443526758584025088;https://twitter.com/NicOMhg/status/443526758584025088;718682784;🇫🇷CHAMPION DU MONDE 🇫🇷;NicOMhg;1;;;pollution OR pollutions
11 Mar 2014;1394579729;Hop, avec la pollution ambiante, mon flux de données sur la qualité de l'air chez moi (charenton) est en ligne ! https://thingspeak.com/channels/10922 ;fr;Jonathan Schemoul ;@jon1012;443525649505214464;https://twitter.com/jon1012/status/443525649505214464;632893;Jonathan Schemoul;jon1012;;1;1;pollution OR pollutions
11 Mar 2014;1394579519;Avec quantité d'inconscients, et des élus irresponsables, qui continuent de se déplacer en voiture. http://abonnes.lemonde.fr/planete/articl … #pollution;fr;Paltamayox ;@paltamayox;443524767015256064;https://twitter.com/paltamayox/status/443524767015256064;1961243167;Paltamayox;paltamayox;;;;pollution OR pollutions
